,Size,Instance,Capacity,GAP,NodeCount,Runtime,ObjVal,HeurTime,HeurVal
20,5.0,4.0,30.0,0.0,1470.0,1.2895488739013672,345.9224856027539,0.0096912384033203,492.8721223739972
21,5.0,4.0,40.0,5.0906664597897886e-06,1963.0,1.3860492706298828,345.9224855877642,0.010965347290039,492.8721154948061
22,5.0,4.0,50.0,1.1689781718734118e-08,2228.0,1.6605587005615234,345.92248471813315,0.0098648071289062,492.87214622991456
23,5.0,4.0,60.0,0.0,1716.0,1.203779220581055,343.73459542962587,0.0092678070068359,492.8723108432653
24,5.0,4.0,70.0,0.0,1314.0,0.8936080932617188,343.73459542962576,0.0088787078857421,492.8722515876146
25,6.0,0.0,30.0,1.1939972794080472e-07,7193.0,31.766695022583008,634.8225783752877,0.0126056671142578,748.2907974041548
26,6.0,0.0,40.0,9.984902594415689e-08,7451.0,26.55010986328125,588.3493819217837,0.013803482055664,746.0634534766593
27,6.0,0.0,50.0,9.596891388530211e-07,14837.0,84.23444938659668,564.7823688230751,0.0149574279785156,746.0635219096631
28,6.0,0.0,60.0,3.9244101060407934e-08,18015.0,84.08654403686523,564.7823681422733,0.0149650573730468,746.0637560453132
29,6.0,0.0,70.0,1.6814282644005312e-08,15520.0,100.94293785095216,564.7823681816636,0.015481948852539,746.0636553703417
30,6.0,1.0,30.0,6.2295240916486545e-09,16439.0,62.793020248413086,445.7105393412465,0.0139656066894531,556.862223619103
31,6.0,1.0,40.0,5.639196245346664e-06,15670.0,13.411121368408203,431.4851102989163,0.0147876739501953,556.8621328693131
32,6.0,1.0,50.0,9.733209261741952e-08,20947.0,56.06801414489746,431.4851091129364,0.012969970703125,556.8621430808117
33,6.0,1.0,60.0,4.246145181429031e-08,27683.0,181.4768886566162,431.4851102989161,0.0141792297363281,556.8621262761823
34,6.0,1.0,70.0,3.981895800240886e-06,18920.0,28.301292419433597,431.4851097988757,0.0154132843017578,556.8621370204768
35,6.0,2.0,30.0,1.3583078748768198e-08,13907.0,40.33809280395508,412.4854702704112,0.0153312683105468,499.747420354968
36,6.0,2.0,40.0,3.742155200922972e-07,14338.0,23.969165802001957,401.673396734572,0.0139617919921875,499.7474416754684
37,6.0,2.0,50.0,3.5568980493383774e-08,18553.0,99.85786628723145,401.67339724021497,0.0139617919921875,499.74779183927
38,6.0,2.0,60.0,7.859861391781917e-06,14129.0,42.53851890563965,401.6733972402148,0.0125751495361328,499.7476002207348
39,6.0,2.0,70.0,1.2349234764625135e-05,16784.0,25.338214874267575,401.67339724021474,0.0119686126708984,499.7474845479894
40,6.0,3.0,30.0,9.10555048450326e-09,5946.0,17.053380966186523,503.5305958065751,0.0139636993408203,561.5332526739728
41,6.0,3.0,40.0,1.1238209743937594e-08,15216.0,58.25715637207031,465.61794881679816,0.0136280059814453,556.6836626335192
42,6.0,3.0,50.0,2.8987762569622952e-08,18666.0,63.15205955505371,465.4395730773732,0.0159549713134765,556.683666397262
43,6.0,3.0,60.0,6.668700061023017e-10,22990.0,39.12334060668945,465.4395726610368,0.0165424346923828,556.6836765585224
44,6.0,3.0,70.0,3.552231968168431e-09,18393.0,68.3182430267334,465.43957271379816,0.0153732299804687,556.6841289026081
45,6.0,4.0,30.0,3.0772854353460285e-08,6293.0,16.05445671081543,499.61921683442,0.0147457122802734,607.0168370131234
46,6.0,4.0,40.0,8.098886634738223e-08,9638.0,24.49048614501953,465.04293250446256,0.0127372741699218,607.0168913675574
47,6.0,4.0,50.0,0.0,11644.0,26.840198516845703,464.99877023696354,0.0139636993408203,607.016858858514
48,6.0,4.0,60.0,3.416392389845396e-09,12100.0,20.371501922607425,464.9987705338341,0.014596939086914,607.0168344092061
49,6.0,4.0,70.0,1.198895174123701e-09,13324.0,23.865158081054688,464.998770472918,0.0137786865234375,607.0168992451587
50,7.0,0.0,30.0,8.123585100769684e-07,105827.0,1644.2105598449707,496.8737988638268,0.0275936126708984,585.3577391157476
51,7.0,0.0,40.0,1.9355738529931632e-08,93367.0,716.7895107269287,456.849715807655,0.0186958312988281,585.3576989283283
52,7.0,0.0,50.0,1.027745245058419e-08,114383.0,2990.7187690734863,456.8497147795628,0.0180301666259765,585.357755242912
53,7.0,0.0,60.0,4.050050669075733e-07,86225.0,1297.3428115844729,456.8498838703454,0.0177688598632812,585.3576983731538
54,7.0,0.0,70.0,3.607668175121814e-08,109553.0,2040.2097606658936,456.8497140539499,0.0177688598632812,585.3578379274172
55,7.0,1.0,30.0,0.0,61154.0,1386.0920391082764,568.0859299443481,0.015960693359375,814.6682454757147
56,7.0,1.0,40.0,4.4998363429284414e-08,62351.0,1401.3080654144287,515.1238368960215,0.0173797607421875,784.6682227582264
57,7.0,1.0,50.0,1.1758528120477832e-08,78520.0,434.4428634643554,504.4520777244805,0.015960693359375,768.5670981580852
58,7.0,1.0,60.0,7.703456679284928e-10,79339.0,354.4637699127197,504.4520778732768,0.017974853515625,768.567014543887
59,7.0,1.0,70.0,0.0,83764.0,1384.2594985961914,504.4520769755686,0.0163555145263671,768.5672869085993
60,7.0,2.0,30.0,4.358381300550322e-07,36375.0,1758.2197895050049,596.8403970312169,0.0180740356445312,840.8121127008804
61,7.0,2.0,40.0,2.7508095070858728e-08,49559.0,285.7127208709717,580.3749544839544,0.0145320892333984,811.2307574948308
62,7.0,2.0,50.0,1.599501205216396e-06,52382.0,991.6187286376952,552.7265333028689,0.0160884857177734,811.2309380782525
63,7.0,2.0,60.0,5.553284209321705e-09,77651.0,2146.592622756958,552.7265333857513,0.0153427124023437,811.2310788934834
64,7.0,2.0,70.0,7.653524106211975e-07,68751.0,1303.6834888458252,552.7265340361258,0.0172252655029296,811.2310613998358
65,7.0,3.0,30.0,2.912932903666398e-08,47995.0,241.380334854126,638.4846782205873,0.0173625946044921,694.6811484478361
66,7.0,3.0,40.0,3.929420002247763e-07,71247.0,263.6527042388916,604.6523488094643,0.015960693359375,690.2624400682225
67,7.0,3.0,50.0,2.887153617108912e-05,70167.0,799.9651412963867,589.302903203697,0.0170841217041015,690.2625105110708
68,7.0,3.0,60.0,1.5052783441387244e-05,140839.0,3181.154163360596,589.3078438336495,0.0179424285888671,690.2625443586613
69,7.0,3.0,70.0,5.443153208408867e-06,87194.0,76.71677207946777,589.302904765134,0.0169582366943359,690.2624566842574
70,7.0,4.0,30.0,1.9272267268874898e-07,72507.0,539.0429935455322,528.2745283092438,0.0157890319824218,641.7622420587116
71,7.0,4.0,40.0,1.8417444929446205e-09,73468.0,257.6324806213379,479.4406026742029,0.0179576873779296,611.7623716995435
72,7.0,4.0,50.0,1.3939499530411117e-08,89508.0,752.6058044433594,479.4406016495675,0.0158767700195312,607.0664115294206
73,7.0,4.0,60.0,3.00576867491079e-08,94009.0,392.8372421264648,479.4406027138453,0.0158939361572265,607.0665646219256
74,7.0,4.0,70.0,2.1653707674007133e-07,99180.0,426.14612007141113,479.4406019199173,0.0185832977294921,607.0665227161202
75,8.0,0.0,30.0,2.3086738264402806e-07,201568.0,1991.8506355285645,713.2739914247448,0.0231971740722656,758.8974439819083
76,8.0,0.0,40.0,0.1358962166421693,214571.0,7200.052974700928,658.9676240218497,0.0243854522705078,751.4636305853684
