,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal
25,0.0,6.0,30.0,0.0,19.642657995224,5949.0,634.8226302477595
26,0.0,6.0,40.0,0.0,27.221216917037964,8285.0,588.3494146790994
27,0.0,6.0,50.0,0.0,22.244236946105957,9944.0,564.7823965274813
28,0.0,6.0,60.0,3.5691098192921175e-05,23.469974040985107,12065.0,564.7824594635315
29,0.0,6.0,70.0,0.0,34.22729802131653,13010.0,564.7824111231939
30,1.0,6.0,30.0,9.121254848544159e-05,34.205764055252075,13845.0,445.7105522936981
31,1.0,6.0,40.0,6.146729463415514e-05,47.28700494766235,19115.0,431.4851423200392
32,1.0,6.0,50.0,0.0,42.91116285324097,20877.0,431.48514570613764
33,1.0,6.0,60.0,0.0,49.879008054733276,21073.0,431.48515825744744
34,1.0,6.0,70.0,7.057291640534309e-05,46.581993103027344,20151.0,431.4851326582394
35,2.0,6.0,30.0,0.0,19.67403507232666,7187.0,412.48549486021795
36,2.0,6.0,40.0,0.0,26.468150854110718,10125.0,401.67337785968755
37,2.0,6.0,50.0,2.23475686059445e-06,36.61701989173889,13671.0,401.6734116917228
38,2.0,6.0,60.0,6.199420118023404e-05,28.09110188484192,13574.0,401.67342479069646
39,2.0,6.0,70.0,0.0,36.22471499443054,13279.0,401.67341272635093
40,3.0,6.0,30.0,8.078316995618936e-05,19.248687028884888,8219.0,503.5306350892987
41,3.0,6.0,40.0,4.297719073320205e-06,26.481065034866333,10715.0,465.6179872283287
42,3.0,6.0,50.0,4.870386189129261e-05,42.53164291381836,15883.0,465.4396346671674
43,3.0,6.0,60.0,8.435679799617889e-05,44.14652490615845,16739.0,465.43962148217247
44,3.0,6.0,70.0,0.0,42.758660078048706,18066.0,465.43958294835903
45,4.0,6.0,30.0,0.0,16.978065013885498,6303.0,499.6192563057302
46,4.0,6.0,40.0,0.0,25.03974199295044,8752.0,465.0429816162763
47,4.0,6.0,50.0,5.408589343494441e-06,26.093549013137817,8354.0,464.9987983003846
48,4.0,6.0,60.0,0.0,21.365254878997803,8984.0,464.99879387929485
49,4.0,6.0,70.0,0.0,21.683735132217407,9682.0,464.99883004625997
50,0.0,7.0,30.0,9.649160902493038e-05,340.4880359172821,91951.0,496.87378717071454
51,0.0,7.0,40.0,6.173238216062053e-05,319.96609902381897,103750.0,456.8497425529492
52,0.0,7.0,50.0,4.127482637790934e-05,387.16093707084656,113705.0,456.8497515439256
53,0.0,7.0,60.0,9.90806712038807e-05,576.9674921035767,145173.0,456.8497343950804
54,0.0,7.0,70.0,8.107735297297731e-05,315.04381585121155,104839.0,456.84972929283526
55,1.0,7.0,30.0,1.2700612387631692e-05,208.1635160446167,61688.0,568.0859876704164
56,1.0,7.0,40.0,9.932019633302146e-05,223.84193301200867,64083.0,515.1239079819613
57,1.0,7.0,50.0,9.381418099119352e-05,219.01831102371216,77861.0,504.4523532218179
58,1.0,7.0,60.0,8.868173905465293e-05,307.90636682510376,92763.0,504.4538617549258
59,1.0,7.0,70.0,9.964406689583931e-05,214.8327441215515,74208.0,504.4521044009599
60,2.0,7.0,30.0,8.217833263894047e-05,138.93023896217346,36974.0,596.8404728792177
61,2.0,7.0,40.0,4.833871081532482e-06,252.73679518699646,58730.0,580.3750311885057
62,2.0,7.0,50.0,7.321056076593004e-05,199.2469789981842,56083.0,552.7266006369848
63,2.0,7.0,60.0,8.177478223318892e-06,204.34260201454163,60144.0,552.7266098206377
64,2.0,7.0,70.0,2.252338718574898e-05,245.29148316383362,66287.0,552.726620602686
65,3.0,7.0,30.0,0.0,236.02670812606812,54249.0,638.4847200307954
66,3.0,7.0,40.0,6.458800299685436e-05,291.4192359447479,85030.0,604.6523612883027
67,3.0,7.0,50.0,7.603156773244126e-05,294.99042296409607,86552.0,589.3028660757741
68,3.0,7.0,60.0,8.955585800586886e-05,369.4849708080292,109191.0,589.302979285606
69,3.0,7.0,70.0,9.886262456709259e-05,402.8194589614868,122894.0,589.3029683315002
70,4.0,7.0,30.0,2.140201872880911e-05,225.12221002578735,74875.0,528.2745713120923
71,4.0,7.0,40.0,0.0,254.36887621879578,79973.0,479.4416418635954
72,4.0,7.0,50.0,5.336476636987723e-05,176.34645700454712,72002.0,479.4406045283552
73,4.0,7.0,60.0,4.903365063847734e-05,284.37603521347046,96694.0,479.44062902106873
74,4.0,7.0,70.0,9.26447708859183e-05,329.38635897636414,110271.0,479.44062790333976
75,0.0,8.0,30.0,9.55711868636683e-05,1632.206169128418,302703.0,713.2740421596595
76,0.0,8.0,40.0,9.997328077940599e-05,2089.963769197464,452722.0,658.9094484800158
77,0.0,8.0,50.0,9.892880085401682e-05,2515.0216269493103,621530.0,649.8435114370809
78,0.0,8.0,60.0,9.656814555788568e-05,2712.111155986786,712326.0,649.7011081121506
79,0.0,8.0,70.0,9.952540486472957e-05,3726.2984941005707,891888.0,649.7004827609461
80,1.0,8.0,30.0,8.673938124430876e-05,3273.164958000183,492895.0,577.7486811416612
