,Instance,Size,Capacity,ObjVal_h,Time_h
70,4.0,7.0,30.0,533.2189647288103,5.512261390686035
71,4.0,7.0,40.0,533.2188848083769,5.161435842514038
72,4.0,7.0,50.0,533.2189406537267,5.494276523590088
73,4.0,7.0,60.0,533.2188921950383,5.4930219650268555
74,4.0,7.0,70.0,533.2189044828309,6.046566963195801
75,0.0,8.0,30.0,645.1024683339084,6.530445098876953
76,0.0,8.0,40.0,645.1151603708834,7.2934653759002686
77,0.0,8.0,50.0,645.1026461733233,8.642321348190308
78,0.0,8.0,60.0,645.1024150453541,5.715582609176636
79,0.0,8.0,70.0,645.1026445937707,5.848172187805176
80,1.0,8.0,30.0,747.8141594656083,7.718531847000122
81,1.0,8.0,40.0,726.8317716552609,7.3985435962677
82,1.0,8.0,50.0,726.8317917594136,6.4926323890686035
83,1.0,8.0,60.0,726.8317771824693,7.650514602661133
84,1.0,8.0,70.0,726.8317799508509,7.572402715682983
85,2.0,8.0,30.0,720.5875520141101,9.186076641082764
86,2.0,8.0,40.0,716.8299832966104,9.015660285949707
87,2.0,8.0,50.0,719.7606245130798,8.8210768699646
88,2.0,8.0,60.0,717.7353720320742,8.916842460632324
89,2.0,8.0,70.0,719.3728603057897,12.385676622390747
90,3.0,8.0,30.0,723.1061967141754,8.667884826660156
91,3.0,8.0,40.0,723.1061987142821,7.472147703170776
92,3.0,8.0,50.0,723.1061860309851,7.014356851577759
93,3.0,8.0,60.0,723.1061918249301,6.532628059387207
94,3.0,8.0,70.0,723.1062102111961,7.477335214614868
95,4.0,8.0,30.0,761.2040920900475,5.952805757522583
96,4.0,8.0,40.0,761.2040957984465,7.051324129104614
97,4.0,8.0,50.0,761.2040888941776,6.281329870223999
98,4.0,8.0,60.0,761.2040790013398,6.29028058052063
99,4.0,8.0,70.0,761.204015609831,5.740109920501709
100,0.0,9.0,30.0,665.7383933980516,11.840826988220215
101,0.0,9.0,40.0,659.5523397210246,8.276827096939087
102,0.0,9.0,50.0,655.6546610106222,14.310028553009033
103,0.0,9.0,60.0,658.3286712080678,13.016225814819336
104,0.0,9.0,70.0,659.122428882071,13.382056474685669
105,1.0,9.0,30.0,836.3723805289942,13.777770042419434
106,1.0,9.0,40.0,836.3374239177601,16.30492901802063
107,1.0,9.0,50.0,836.3439034048827,16.290682792663574
108,1.0,9.0,60.0,836.3439255387211,15.71147108078003
109,1.0,9.0,70.0,836.3438821048198,12.000365495681763
110,2.0,9.0,30.0,897.6710789483811,12.102596282958984
111,2.0,9.0,40.0,893.7327171758131,13.406489372253418
112,2.0,9.0,50.0,893.7326148336684,14.913238525390625
113,2.0,9.0,60.0,893.7325660386009,13.160826206207275
114,2.0,9.0,70.0,893.732622886782,11.897114753723145
115,3.0,9.0,30.0,684.371104326364,18.14879870414734
116,3.0,9.0,40.0,677.0387821572112,12.764719724655151
117,3.0,9.0,50.0,676.7981250528321,16.051881313323975
118,3.0,9.0,60.0,680.0415226440582,16.600387573242188
119,3.0,9.0,70.0,680.6483194733536,15.641314029693604
120,4.0,9.0,30.0,699.0442181477887,12.33686351776123
121,4.0,9.0,40.0,702.8144459818513,10.785991430282593
122,4.0,9.0,50.0,700.9048550474926,12.840052604675293
123,4.0,9.0,60.0,700.1065936277331,14.67581582069397
124,4.0,9.0,70.0,702.7529172626539,13.912195920944214
125,0.0,10.0,30.0,940.965335534333,20.562631607055664
126,0.0,10.0,40.0,930.6758781950533,15.386340856552124
127,0.0,10.0,50.0,931.2168295807785,18.00031590461731
128,0.0,10.0,60.0,932.654053405181,17.81172800064087
129,0.0,10.0,70.0,927.7679346444606,17.041261911392212
130,1.0,10.0,30.0,819.4352650790378,13.418803453445435
131,1.0,10.0,40.0,818.1785329414186,14.716159343719482
132,1.0,10.0,50.0,819.7162458805888,14.30221939086914
133,1.0,10.0,60.0,821.4455111027676,14.598121404647827
134,1.0,10.0,70.0,818.8315759303971,15.869754314422607
135,2.0,10.0,30.0,783.7160834115341,21.387583017349243
136,2.0,10.0,40.0,777.3124856547422,21.862234592437744
137,2.0,10.0,50.0,779.228666544074,23.410658597946167
138,2.0,10.0,60.0,777.9379013849502,22.080880403518677
