,Instance,Size,Capacity,GAP,Runtime,NodeCount,ObjVal,Sec
145,4.0,10.0,30.0,0.9178606408346354,7200.016644954681,667644.0,570.5011827135183,0.0
146,4.0,10.0,40.0,0.893154912169733,7200.013370037079,796437.0,543.8434483974746,0.0
147,4.0,10.0,50.0,0.9447753471290948,7200.014061927795,852417.0,572.2790436238024,0.0
148,4.0,10.0,60.0,0.8820482315514444,7200.013818025589,809229.0,577.7296511340177,0.0
149,4.0,10.0,70.0,0.910466085361958,7200.010321140289,676392.0,568.9826299817558,0.0
150,0.0,11.0,30.0,0.9424479178481202,7200.0155827999115,521425.0,797.4869290197803,0.0
151,0.0,11.0,40.0,0.9072310497341721,7200.013458967209,444832.0,793.8661406439212,0.0
152,0.0,11.0,50.0,0.9559282244354268,7200.019439935684,403472.0,808.3931281078028,0.0
153,0.0,11.0,60.0,0.9196874246769002,7200.011540174484,425322.0,787.0531641479276,0.0
154,0.0,11.0,70.0,0.9792521291787734,7200.014097929001,499260.0,778.4161992930852,0.0
155,1.0,11.0,30.0,0.9813905901779827,7200.012466907501,361394.0,672.7952339738747,0.0
156,1.0,11.0,40.0,0.9560271333378744,7200.014271020889,606414.0,648.6650860661351,0.0
157,1.0,11.0,50.0,0.9630720156917986,7200.012917041779,433799.0,662.8756463920071,0.0
158,1.0,11.0,60.0,0.9191237019577088,7200.014111042023,627581.0,620.8631915213565,0.0
159,1.0,11.0,70.0,0.9636040191109501,7200.020952939987,394908.0,678.7828584135702,0.0
160,2.0,11.0,30.0,0.8889344574868873,7200.02225279808,413181.0,719.0750826384074,0.0
161,2.0,11.0,40.0,0.9528788874908086,7200.014708995819,513368.0,688.0562734662147,0.0
162,2.0,11.0,50.0,0.9284695098967387,7200.016053915024,474052.0,687.6449651236208,0.0
163,2.0,11.0,60.0,0.9588903777180423,7200.013913154602,562006.0,722.8915896887452,0.0
164,2.0,11.0,70.0,0.9406053301204196,7200.014163017273,433215.0,695.0699413880825,0.0
165,3.0,11.0,30.0,0.9093901218869314,7200.015544176102,517048.0,734.8968160833991,0.0
166,3.0,11.0,40.0,0.9489621347569263,7200.017133951187,430107.0,759.8391760251798,0.0
167,3.0,11.0,50.0,0.9098158429887844,7200.595800161362,664635.0,803.8683114328142,0.0
168,3.0,11.0,60.0,0.9899416568540371,7200.01535320282,590780.0,786.7366050521638,0.0
169,3.0,11.0,70.0,0.9568019096441923,7200.0124390125275,412113.0,788.9302826039406,0.0
170,4.0,11.0,30.0,0.9514509428876616,7200.022196054459,450120.0,851.4345298890396,0.0
171,4.0,11.0,40.0,0.9597789370533015,7200.020869970322,519021.0,836.2625822485152,0.0
172,4.0,11.0,50.0,0.9586207610087676,7200.0149269104,421265.0,784.013187413554,0.0
