,Size,Instance,Capacity,GAP,NodeCount,Runtime,ObjVal,HeurTime,HeurVal
17,5.0,3.0,50.0,0.0,4051.0,4.408102989196777,363.682145938512,0.3050503730773926,391.0718279114909
18,5.0,3.0,60.0,0.0,4169.0,5.07382607460022,363.6821373941576,0.8182659149169922,391.0718208950944
19,5.0,3.0,70.0,5.1814350660112035e-08,3781.0,3.890829086303711,363.6821363108348,0.5412952899932861,391.0718165260788
20,5.0,4.0,30.0,0.0,1261.0,2.7099897861480717,345.9224869073712,0.0679430961608886,492.8721078618016
21,5.0,4.0,40.0,0.0,1471.0,3.186976909637451,345.9225155456779,0.0598549842834472,492.8721188766655
22,5.0,4.0,50.0,0.0,1683.0,3.1408770084381104,345.92252540133177,0.0819344520568847,492.8721243570571
23,5.0,4.0,60.0,0.0,1347.0,3.272584915161133,343.73461531884084,0.1297032833099365,492.87211910990186
24,5.0,4.0,70.0,0.0,1669.0,3.265592098236084,343.7351207698704,0.1193583011627197,492.87211477584606
25,6.0,0.0,30.0,0.0,6302.0,15.146285057067873,634.8226261558673,0.2535164356231689,748.2907805347397
26,6.0,0.0,40.0,0.0,9316.0,18.522756099700928,588.3494845060195,0.4819190502166748,746.0634713319539
27,6.0,0.0,50.0,0.0,10229.0,15.233964920043944,564.7824031826233,0.1685376167297363,746.0634498319257
28,6.0,0.0,60.0,8.790930507051819e-05,12158.0,23.429468154907227,564.7823862148919,0.1432890892028808,746.0634661709273
29,6.0,0.0,70.0,3.035146674918053e-05,15115.0,26.43970799446106,564.7824519912922,0.2259383201599121,746.0634670106901
30,6.0,1.0,30.0,8.468865951266273e-05,15279.0,29.390512943267822,445.7105510482292,0.1446175575256347,556.8621347058127
31,6.0,1.0,40.0,0.0,18006.0,26.55927991867065,431.4851362178673,0.1011998653411865,556.8621364227063
32,6.0,1.0,50.0,0.0,16992.0,24.29094910621643,431.485160634966,0.1209156513214111,556.8621405381461
33,6.0,1.0,60.0,0.0,18398.0,32.17845702171326,431.48514779191794,0.1015620231628418,556.86215042162
34,6.0,1.0,70.0,2.347661911860712e-05,21949.0,42.19493794441223,431.4851537648496,0.1119580268859863,556.8621493007627
35,6.0,2.0,30.0,6.550754874670847e-05,10041.0,17.474284172058105,412.4854818495541,0.4046022891998291,499.7474250249301
36,6.0,2.0,40.0,9.993609223453072e-05,10716.0,16.398550033569336,401.6735815915493,0.1134793758392334,499.7474343233644
37,6.0,2.0,50.0,0.0,8850.0,11.848844051361084,401.6734167811849,0.1563537120819091,499.74743211410265
38,6.0,2.0,60.0,0.0,12165.0,15.549798011779783,401.67341462810174,0.1072382926940918,499.7474286707085
39,6.0,2.0,70.0,0.0,9227.0,12.487995862960815,401.6734343273719,0.1079308986663818,499.74742520523137
40,6.0,3.0,30.0,7.725248363090826e-05,8998.0,17.359918117523193,503.5306286778332,0.09938645362854,561.5332529573965
41,6.0,3.0,40.0,3.543134714708493e-05,9577.0,12.072040796279907,465.6179760101716,0.0880424976348877,556.683661452027
42,6.0,3.0,50.0,0.0,15112.0,26.27173686027527,465.43958298243007,0.0799410343170166,556.6836590643913
43,6.0,3.0,60.0,1.1031191771811308e-05,13430.0,16.374407052993774,465.4403067459202,0.3809230327606201,556.6836647363962
44,6.0,3.0,70.0,6.638081821313385e-05,13117.0,20.2603120803833,465.43966448043807,0.360182523727417,556.6836587106611
45,6.0,4.0,30.0,0.0,6797.0,13.95270609855652,499.6192529911244,0.0855755805969238,607.0168694289817
