,Instance,Size,Capacity,ObjVal_h,Time_h
57,1.0,7.0,50.0,768.5669232044297,0.1066434383392334
58,1.0,7.0,60.0,768.5669276316377,0.6785290241241455
59,1.0,7.0,70.0,768.5669357422198,0.6921699047088623
60,2.0,7.0,30.0,840.811990780034,0.11580562591552734
61,2.0,7.0,40.0,811.2307725963176,0.6212959289550781
62,2.0,7.0,50.0,811.2307736711307,0.1125342845916748
63,2.0,7.0,60.0,811.2307786258709,0.11761784553527832
64,2.0,7.0,70.0,811.2307657929433,0.69716477394104
65,3.0,7.0,30.0,694.6811240180726,0.11391854286193848
66,3.0,7.0,40.0,690.2624309870644,0.11474847793579102
67,3.0,7.0,50.0,690.2624221626138,0.5392138957977295
68,3.0,7.0,60.0,690.2624404141943,0.516282320022583
69,3.0,7.0,70.0,690.2624392936758,0.12255740165710449
70,4.0,7.0,30.0,641.76222830018,0.4781038761138916
71,4.0,7.0,40.0,611.7622107436451,0.10729861259460449
72,4.0,7.0,50.0,607.0663911895351,0.11357855796813965
73,4.0,7.0,60.0,607.0664052990795,0.1165158748626709
74,4.0,7.0,70.0,607.0664074876635,0.11372590065002441
75,0.0,8.0,30.0,758.8974520127351,0.5384025573730469
76,0.0,8.0,40.0,751.4636604194014,0.6073002815246582
77,0.0,8.0,50.0,751.4636775709008,0.6086516380310059
78,0.0,8.0,60.0,751.4636505361116,0.5055286884307861
79,0.0,8.0,70.0,751.4636378517482,0.5347826480865479
80,1.0,8.0,30.0,793.1609078023749,0.5047178268432617
81,1.0,8.0,40.0,781.900109766035,0.44136905670166016
82,1.0,8.0,50.0,781.9000962776224,0.478104829788208
83,1.0,8.0,60.0,781.900096953618,0.4781477451324463
84,1.0,8.0,70.0,781.9000906374124,0.4832265377044678
85,2.0,8.0,30.0,828.3261474363176,0.6483688354492188
86,2.0,8.0,40.0,817.2628032832924,0.157545804977417
87,2.0,8.0,50.0,817.262806773211,0.1657116413116455
88,2.0,8.0,60.0,817.2628398358078,0.757305383682251
89,2.0,8.0,70.0,817.2628028934159,0.7297370433807373
90,3.0,8.0,30.0,705.6164031700205,0.6199116706848145
91,3.0,8.0,40.0,705.616398705043,0.6679971218109131
92,3.0,8.0,50.0,705.6164034399613,0.7782385349273682
93,3.0,8.0,60.0,705.6163949237424,0.7611315250396729
94,3.0,8.0,70.0,705.6164039209344,0.7083957195281982
95,4.0,8.0,30.0,820.3466510095936,0.6582632064819336
96,4.0,8.0,40.0,811.0301365877478,0.15180611610412598
97,4.0,8.0,50.0,811.0301447932836,0.15123510360717773
98,4.0,8.0,60.0,811.0301522055975,0.15533018112182617
99,4.0,8.0,70.0,811.0301203451752,0.14987492561340332
100,0.0,9.0,30.0,835.5308756996203,0.7266912460327148
101,0.0,9.0,40.0,819.0860531085922,0.8296513557434082
102,0.0,9.0,50.0,819.0860518987713,0.7415168285369873
103,0.0,9.0,60.0,819.0860443268443,0.8174870014190674
104,0.0,9.0,70.0,819.0860219737169,0.7735774517059326
105,1.0,9.0,30.0,797.7113545627393,0.9081475734710693
106,1.0,9.0,40.0,797.6643725850481,0.21445512771606445
107,1.0,9.0,50.0,797.6643797249319,0.21721601486206055
108,1.0,9.0,60.0,797.66437811,0.2071516513824463
109,1.0,9.0,70.0,797.664382738104,0.20855951309204102
110,2.0,9.0,30.0,899.2802885791225,0.7807066440582275
111,2.0,9.0,40.0,899.2803132903214,1.1245057582855225
112,2.0,9.0,50.0,899.2803201362158,1.2616050243377686
113,2.0,9.0,60.0,899.2803000027506,0.23779749870300293
114,2.0,9.0,70.0,899.2802768751242,0.23958539962768555
115,3.0,9.0,30.0,734.0642956073854,0.8155162334442139
116,3.0,9.0,40.0,734.064170579967,0.8316891193389893
117,3.0,9.0,50.0,734.0641782624868,0.8427219390869141
118,3.0,9.0,60.0,734.0641552580962,0.7714183330535889
119,3.0,9.0,70.0,734.0641676422952,0.8141517639160156
120,4.0,9.0,30.0,718.6345398846059,0.7788455486297607
121,4.0,9.0,40.0,718.6345466665143,0.7968921661376953
122,4.0,9.0,50.0,718.6345524028135,0.7630813121795654
123,4.0,9.0,60.0,718.6345506228859,0.8349957466125488
124,4.0,9.0,70.0,718.6345686717344,0.775026798248291
125,0.0,10.0,30.0,839.9603212021641,0.36013197898864746
126,0.0,10.0,40.0,839.9603618447672,1.0005314350128174
127,0.0,10.0,50.0,839.9603413474142,1.0123281478881836
128,0.0,10.0,60.0,839.9603282696471,1.014603614807129
129,0.0,10.0,70.0,839.9603231978406,1.0907294750213623
130,1.0,10.0,30.0,918.9929460489448,1.5599448680877686
